Moksleivis,Ranka,Pakartojimas,Atstumas_cm,Laikas_ms_skaiciavimas,Laikas_ms_suapvalinta,Laikas_ms_kopija
1,Dominuojanti,I,21.49,209.4209704,209.42,209.42
1,Dominuojanti,II,19.59,199.9489731,199.95,199.95
1,Dominuojanti,III,21.94,211.6022453,211.60,211.6
1,Nedominuojanti,I,31.09,251.8908089,251.89,251.89
1,Nedominuojanti,II,24.06,221.5898031,221.59,221.59
1,Nedominuojanti,III,24.06,221.5898031,221.59,221.59
2,Dominuojanti,I,24.74,224.6993456,224.70,224.7
2,Dominuojanti,II,22.30,213.3312075,213.33,213.33
2,Dominuojanti,III,18.59,194.7787861,194.78,194.78
2,Nedominuojanti,I,27.17,235.4760701,235.48,235.48
2,Nedominuojanti,II,23.15,217.3589151,217.36,217.36
2,Nedominuojanti,III,23.14,217.3119642,217.31,217.31
3,Dominuojanti,I,20.73,205.6845217,205.68,205.68
3,Dominuojanti,II,14.26,170.5932027,170.59,170.59
3,Dominuojanti,III,14.83,173.9692678,173.97,173.97
3,Nedominuojanti,I,22.75,215.4729018,215.47,215.47
3,Nedominuojanti,II,20.95,206.7730689,206.77,206.77
3,Nedominuojanti,III,26.26,231.4991074,231.50,231.5
4,Dominuojanti,I,17.28,187.7905911,187.79,187.79
4,Dominuojanti,II,15.76,179.341198,179.34,179.34
4,Dominuojanti,III,24.40,223.1499907,223.15,223.15
4,Nedominuojanti,I,24.10,221.7739242,221.77,221.77
4,Nedominuojanti,II,25.27,227.0934358,227.09,227.09
4,Nedominuojanti,III,19.30,198.4634856,198.46,198.46
5,Dominuojanti,I,18.37,193.6228187,193.62,193.62
5,Dominuojanti,II,20.33,203.6904414,203.69,203.69
5,Dominuojanti,III,16.55,183.7811476,183.78,183.78
5,Nedominuojanti,I,26.50,232.5545799,232.55,232.55
5,Nedominuojanti,II,22.60,214.7613768,214.76,214.76
5,Nedominuojanti,III,23.83,220.5281231,220.53,220.53
6,Dominuojanti,I,18.19,192.6718687,192.67,192.67
6,Dominuojanti,II,25.56,228.3927873,228.39,228.39
6,Dominuojanti,III,19.96,201.8283773,201.83,201.83
6,Nedominuojanti,I,20.77,205.8828674,205.88,205.88
6,Nedominuojanti,II,28.29,240.2804484,240.28,240.28
6,Nedominuojanti,III,20.12,202.635694,202.64,202.64
7,Dominuojanti,I,20.63,205.1878184,205.19,205.19
7,Dominuojanti,II,14.12,169.7537232,169.75,169.75
7,Dominuojanti,III,16.02,180.8144838,180.81,180.81
7,Nedominuojanti,I,25.79,229.4180748,229.42,229.42
7,Nedominuojanti,II,27.95,238.8321928,238.83,238.83
7,Nedominuojanti,III,25.69,228.9728618,228.97,228.97
8,Dominuojanti,I,19.65,200.2549396,200.25,200.25
8,Dominuojanti,II,19.10,197.4324994,197.43,197.43
8,Dominuojanti,III,15.56,178.1996129,178.20,178.2
8,Nedominuojanti,I,22.12,212.4684851,212.47,212.47
8,Nedominuojanti,II,23.16,217.4058558,217.41,217.41
8,Nedominuojanti,III,29.23,244.2397618,244.24,244.24
9,Dominuojanti,I,21.03,207.1674862,207.17,207.17
9,Dominuojanti,II,14.71,173.263984,173.26,173.26
9,Dominuojanti,III,20.97,206.8717438,206.87,206.87
9,Nedominuojanti,I,23.46,218.8093943,218.81,218.81
9,Nedominuojanti,II,22.29,213.28337,213.28,213.28
9,Nedominuojanti,III,27.45,236.6863075,236.69,236.69
10,Dominuojanti,I,23.09,217.0770577,217.08,217.08
10,Dominuojanti,II,22.79,215.6622454,215.66,215.66
10,Dominuojanti,III,17.48,188.8742158,188.87,188.87
10,Nedominuojanti,I,23.76,220.2039871,220.20,220.2
10,Nedominuojanti,II,26.33,231.80745,231.81,231.81
10,Nedominuojanti,III,28.90,242.8571429,242.86,242.86
11,Dominuojanti,I,18.56,194.6215585,194.62,194.62
11,Dominuojanti,II,19.44,199.1820007,199.18,199.18
11,Dominuojanti,III,16.68,184.5015348,184.50,184.5
11,Nedominuojanti,I,20.22,203.1386377,203.14,203.14
11,Nedominuojanti,II,28.25,240.1105188,240.11,240.11
11,Nedominuojanti,III,30.42,249.1618603,249.16,249.16
12,Dominuojanti,I,19.78,200.9162685,200.92,200.92
12,Dominuojanti,II,23.01,216.7006776,216.70,216.7
12,Dominuojanti,III,21.08,207.4136161,207.41,207.41
12,Nedominuojanti,I,22.42,213.9044227,213.90,213.9
12,Nedominuojanti,II,26.45,232.3350852,232.34,232.34
12,Nedominuojanti,III,31.15,252.1337514,252.13,252.13
13,Dominuojanti,I,19.89,201.474159,201.47,201.47
13,Dominuojanti,II,24.69,224.47217,224.47,224.47
13,Dominuojanti,III,12.14,157.4023831,157.40,157.4
13,Nedominuojanti,I,28.29,240.2804484,240.28,240.28
13,Nedominuojanti,II,25.35,227.452619,227.45,227.45
13,Nedominuojanti,III,23.80,220.389266,220.39,220.39
14,Dominuojanti,I,20.28,203.4398071,203.44,203.44
14,Dominuojanti,II,14.04,169.2721514,169.27,169.27
14,Dominuojanti,III,19.34,198.6690408,198.67,198.67
14,Nedominuojanti,I,26.43,232.2472293,232.25,232.25
14,Nedominuojanti,II,30.91,251.1605715,251.16,251.16
14,Nedominuojanti,III,22.93,216.3236426,216.32,216.32
15,Dominuojanti,I,17.57,189.3598238,189.36,189.36
15,Dominuojanti,II,18.49,194.2541991,194.25,194.25
15,Dominuojanti,III,22.75,215.4729018,215.47,215.47
15,Nedominuojanti,I,26.32,231.7634262,231.76,231.76
15,Nedominuojanti,II,22.88,216.0876617,216.09,216.09
15,Nedominuojanti,III,27.05,234.9554886,234.96,234.96
